key,en,tr,tl,hi
"Courses","Courses","Kurslar","Mga Kurso","पाठ्यक्रम"
"about","About","Hakkımızda","Tungkol","हमारे बारे में"
"aboutCourse","About This Course","Bu Kurs Hakkında","Tungkol sa Kursong Ito","इस पाठ्यक्रम के बारे में"
"accessCommunity","Access to community","Topluluğa erişim","Access sa komunidad","समुदाय तक पहुंच"
"accessDownload","Access and download your purchased courses","Satın aldığınız kurslara erişin ve indirin","I-access at i-download ang iyong mga biniling kurso","अपने खरीदे गए पाठ्यक्रम एक्सेस और डाउनलोड करें"
"accountSettings","Account Settings","Hesap Ayarları","Mga Setting ng Account","खाता सेटिंग्स"
"activate","Activate","Aktifleştir","I-activate","सक्रिय करें"
"active","Active","Aktif","Aktibo","सक्रिय"
"activeBuyers","Active Buyers","Aktif Alıcılar","Mga Aktibong Mamimili","सक्रिय खरीदार"
"add","Add","Ekle","Idagdag","जोड़ें"
"addCourse","Add Course","Kurs Ekle","Magdagdag ng Kurso","पाठ्यक्रम जोड़ें"
"addWishlist","Add to Wishlist","İstek Listesine Ekle","Idagdag sa Wishlist","विशलिस्ट में जोड़ें"
"adjustCriteria","Try adjusting your search or filter criteria","Arama veya filtre kriterlerinizi ayarlamayı deneyin","Subukang i-adjust ang iyong paghahanap o filter","अपनी खोज या फ़िल्टर मापदंड समायोजित करें"
"admin","Admin","Yönetici","Admin","व्यवस्थापक"
"adminDashboard","Admin Dashboard","Yönetici Paneli","Admin Dashboard","व्यवस्थापक डैशबोर्ड"
"affordableCourses","Courses from just $2 - affordable for everyone","Sadece 2$'dan başlayan kurslar - herkes için uygun fiyatlı","Mga kurso mula $2 lang - abot-kaya para sa lahat","केवल $2 से शुरू पाठ्यक्रम - सभी के लिए किफायती"
"affordableCoursesDesc","Quality education that doesn't break the bank. Transform your life for less than a coffee.","Bütçenizi zorlamayan kaliteli eğitim. Bir kahveden daha ucuza hayatınızı dönüştürün.","Kalidad na edukasyon na hindi magpapabaon. Baguhin ang iyong buhay sa halaga ng isang kape.","गुणवत्तापूर्ण शिक्षा जो जेब पर भारी न पड़े। एक कॉफी से भी कम में अपना जीवन बदलें।"
"after","After","Sonra","Pagkatapos","बाद में"
"all","All","Tümü","Lahat","सभी"
"allCategories","All Categories","Tüm Kategoriler","Lahat ng Kategorya","सभी श्रेणियां"
"allCourses","All Courses","Tüm Kurslar","Lahat ng Kurso","सभी पाठ्यक्रम"
"allLanguages","All Languages","Tüm Diller","Lahat ng Wika","सभी भाषाएं"
"allLevels","All Levels","Tüm Seviyeler","Lahat ng Antas","सभी स्तर"
"alwaysBroke","Always broke.","Hep meteliksiz.","Laging walang pera.","हमेशा पैसों की तंगी।"
"amount","Amount","Tutar","Halaga","राशि"
"applyFilters","Apply Filters","Filtreleri Uygula","I-apply ang mga Filter","फ़िल्टर लागू करें"
"approved","Approved","Onaylandı","Aprubado","स्वीकृत"
"available","Available","Mevcut","Available","उपलब्ध"
"avgOrderValue","Avg. Order Value","Ort. Sipariş Değeri","Avg. na Halaga ng Order","औसत ऑर्डर मूल्य"
"back","Back","Geri","Bumalik","वापस"
"backToCourse","Back to Course","Kursa Geri Dön","Bumalik sa Kurso","पाठ्यक्रम पर वापस"
"backToCourses","Back to Courses","Kurslara Geri Dön","Bumalik sa mga Kurso","पाठ्यक्रमों पर वापस"
"backToHome","Back to Home","Ana Sayfaya Dön","Bumalik sa Home","होम पर वापस"
"backup","Backup","Yedekle","Backup","बैकअप"
"before","Before","Önce","Bago","पहले"
"blog","Blog","Blog","Blog","ब्लॉग"
"boostDigitalSkills","Boost Digital Skills","Dijital Becerilerini Artır","Palakasin ang Digital Skills","डिजिटल कौशल बढ़ाएं"
